Rule ID,Rule Name,Rule Description,Visa Type,Eligibility Criteria,Application Fee,Processing Time,Required Documents,Additional Notes
35,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
36,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£95,6 months,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
37,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
38,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Family relationship proof, sufficient funds",£348,12 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
39,Visitor Visa,Allows family members of UK residents to join them in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",3 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
40,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Work,"Family relationship proof, sufficient funds","£1,021",12 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
41,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",12 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
42,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
43,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
44,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Student,Must have sufficient funds for the duration of stay and intention to return,"£1,021",12 weeks,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
45,Innovator Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds",£610,12 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
46,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Accepted by a UK institution, proof of funds, English proficiency",£610,12 weeks,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
47,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
48,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,Must have sufficient funds for the duration of stay and intention to return,£95,12 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
49,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Family relationship proof, sufficient funds","£1,523",12 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
50,Innovator Visa,For international students pursuing a course in the UK.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
51,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Work,Must have sufficient funds for the duration of stay and intention to return,£348,6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
52,Innovator Visa,For international students pursuing a course in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",8 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
53,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
54,Family Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds",£610,8 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
55,Innovator Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds",£348,3 weeks,"Passport, relationship proof, financial proof",Can work part-time during term and full-time during breaks.
56,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£610,3 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
57,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£95,3 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
58,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Student,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",6 months,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
59,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£95,3 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
60,Tier 2 Work Visa,For international students pursuing a course in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£95,12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
61,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£95,12 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
62,Family Visa,For international students pursuing a course in the UK.,Visitor,"Family relationship proof, sufficient funds",£610,6 months,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
63,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£348,3 weeks,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
64,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£348,3 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
65,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,021",6 months,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
66,Family Visa,For international students pursuing a course in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
67,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Family relationship proof, sufficient funds",£610,6 months,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
68,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Work,"Accepted by a UK institution, proof of funds, English proficiency",£95,8 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
69,Innovator Visa,For international students pursuing a course in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
70,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,Must have sufficient funds for the duration of stay and intention to return,£348,8 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
71,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Family,Must have sufficient funds for the duration of stay and intention to return,£610,12 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
72,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",6 months,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
73,Innovator Visa,For international students pursuing a course in the UK.,Student,"Family relationship proof, sufficient funds",£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
74,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Business,Must have sufficient funds for the duration of stay and intention to return,£610,12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
75,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Family relationship proof, sufficient funds",£95,3 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
76,Family Visa,Allows family members of UK residents to join them in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£348,3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
77,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
78,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds","£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
79,Tier 4 Student,For international students pursuing a course in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",12 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
80,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Work,"Family relationship proof, sufficient funds","£1,523",12 weeks,"Passport, CoS, qualifications, proof of funds",Family visa holders can apply for indefinite leave to remain after 5 years.
81,Visitor Visa,For international students pursuing a course in the UK.,Work,"Family relationship proof, sufficient funds","£1,021",6 months,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
82,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",3 weeks,"Passport, business plan, endorsement letter, financial proof",Must maintain the endorsement and continue business activities.
83,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
84,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Accepted by a UK institution, proof of funds, English proficiency",£348,6 months,"Passport, CAS, financial proof, TB test",Max 6 months stay per visit.
85,Innovator Visa,Allows family members of UK residents to join them in the UK.,Work,"Job offer, Certificate of Sponsorship, appropriate salary",£348,6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
86,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Accepted by a UK institution, proof of funds, English proficiency",£348,3 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
87,Innovator Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",8 weeks,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
88,Innovator Visa,Allows family members of UK residents to join them in the UK.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£95,12 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
89,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency",£95,8 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
90,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£348,6 months,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
91,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Innovative business idea, proof of funds, endorsement by an approved body",£348,6 months,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
92,Tier 4 Student,Allows family members of UK residents to join them in the UK.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
93,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",8 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
94,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Family relationship proof, sufficient funds",£95,8 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
95,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£348,8 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
96,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Job offer, Certificate of Sponsorship, appropriate salary",£610,6 months,"Passport, CAS, financial proof, TB test",Sponsorship from a licensed UK employer required.
97,Tier 4 Student,Allows individuals to visit the UK for tourism or family visits.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£610,6 months,"Passport, bank statements, travel itinerary",Max 6 months stay per visit.
98,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Family,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
99,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Family relationship proof, sufficient funds","£1,021",3 weeks,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
100,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Accepted by a UK institution, proof of funds, English proficiency","£1,021",12 weeks,"Passport, CAS, financial proof, TB test",Must maintain the endorsement and continue business activities.
101,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",12 weeks,"Passport, bank statements, travel itinerary",Can work part-time during term and full-time during breaks.
102,Family Visa,For international students pursuing a course in the UK.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£348,8 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
103,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",12 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
104,Tier 4 Student,For international students pursuing a course in the UK.,Student,"Family relationship proof, sufficient funds",£348,8 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
105,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Visitor,"Family relationship proof, sufficient funds",£610,6 months,"Passport, bank statements, travel itinerary",Family visa holders can apply for indefinite leave to remain after 5 years.
106,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Innovative business idea, proof of funds, endorsement by an approved body",£610,3 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
107,Family Visa,Allows family members of UK residents to join them in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,021",3 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
108,Innovator Visa,For international students pursuing a course in the UK.,Work,"Innovative business idea, proof of funds, endorsement by an approved body",£610,12 weeks,"Passport, relationship proof, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
109,Visitor Visa,For international students pursuing a course in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£95,3 weeks,"Passport, CAS, financial proof, TB test",Can work part-time during term and full-time during breaks.
110,Tier 2 Work Visa,Allows individuals to visit the UK for tourism or family visits.,Business,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",8 weeks,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
111,Innovator Visa,For international students pursuing a course in the UK.,Visitor,Must have sufficient funds for the duration of stay and intention to return,£348,8 weeks,"Passport, CAS, financial proof, TB test",Family visa holders can apply for indefinite leave to remain after 5 years.
112,Tier 2 Work Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,"Job offer, Certificate of Sponsorship, appropriate salary","£1,021",12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
113,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",12 weeks,"Passport, relationship proof, financial proof",Must maintain the endorsement and continue business activities.
114,Tier 2 Work Visa,For international students pursuing a course in the UK.,Business,"Family relationship proof, sufficient funds",£348,3 weeks,"Passport, business plan, endorsement letter, financial proof",Can work part-time during term and full-time during breaks.
115,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Student,"Family relationship proof, sufficient funds",£610,3 weeks,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
116,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Student,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",6 months,"Passport, CoS, qualifications, proof of funds",Must maintain the endorsement and continue business activities.
117,Visitor Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Family relationship proof, sufficient funds",£610,6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
118,Tier 2 Work Visa,For international students pursuing a course in the UK.,Family,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, business plan, endorsement letter, financial proof",Family visa holders can apply for indefinite leave to remain after 5 years.
119,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£610,8 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
120,Innovator Visa,Allows individuals to visit the UK for tourism or family visits.,Work,Must have sufficient funds for the duration of stay and intention to return,"£1,523",8 weeks,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
121,Family Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,"Family relationship proof, sufficient funds","£1,523",8 weeks,"Passport, CoS, qualifications, proof of funds",Can work part-time during term and full-time during breaks.
122,Tier 2 Work Visa,For experienced business people seeking to establish an innovative business in the UK.,Business,"Innovative business idea, proof of funds, endorsement by an approved body",£610,3 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
123,Tier 2 Work Visa,For international students pursuing a course in the UK.,Family,"Job offer, Certificate of Sponsorship, appropriate salary",£95,6 months,"Passport, business plan, endorsement letter, financial proof",Max 6 months stay per visit.
124,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body",£610,8 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
125,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Work,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",8 weeks,"Passport, business plan, endorsement letter, financial proof",Sponsorship from a licensed UK employer required.
126,Family Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency","£1,523",6 months,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
127,Tier 4 Student,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Family,Must have sufficient funds for the duration of stay and intention to return,"£1,523",12 weeks,"Passport, bank statements, travel itinerary",Must maintain the endorsement and continue business activities.
128,Visitor Visa,For international students pursuing a course in the UK.,Student,"Job offer, Certificate of Sponsorship, appropriate salary",£610,12 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
129,Tier 4 Student,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Innovative business idea, proof of funds, endorsement by an approved body","£1,523",3 weeks,"Passport, relationship proof, financial proof",Max 6 months stay per visit.
130,Family Visa,For experienced business people seeking to establish an innovative business in the UK.,Visitor,"Accepted by a UK institution, proof of funds, English proficiency",£610,12 weeks,"Passport, CoS, qualifications, proof of funds",Sponsorship from a licensed UK employer required.
131,Innovator Visa,For experienced business people seeking to establish an innovative business in the UK.,Family,"Family relationship proof, sufficient funds",£610,8 weeks,"Passport, CoS, qualifications, proof of funds",Max 6 months stay per visit.
132,Visitor Visa,For skilled workers with a job offer from a UK employer holding a valid sponsor.,Business,Must have sufficient funds for the duration of stay and intention to return,"£1,523",6 months,"Passport, bank statements, travel itinerary",Sponsorship from a licensed UK employer required.
133,Visitor Visa,Allows individuals to visit the UK for tourism or family visits.,Visitor,"Job offer, Certificate of Sponsorship, appropriate salary","£1,523",3 weeks,"Passport, relationship proof, financial proof",Sponsorship from a licensed UK employer required.
